timestamp,src_ip,http_method,http_path,http_protocol_version,http_status_code,http_response_size,referrer,user_agent
2025-03-11 15:14:04+00:00,57.129.64.237,GET,/,HTTP/1.1,404,48,-,Mozilla/5.0 (compatible; ModatScanner/1.0; +https://modat.io/)
2025-03-11 15:14:25+00:00,193.189.185.113,GET,/api-web/v1/chart_data?timespan=720,HTTP/1.1,200,2708,https://cyber.ltfe.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
2025-03-11 15:15:11+00:00,193.189.185.113,GET,/api-web/v1/traffic?timespan=720,HTTP/1.1,200,49,https://cyber.ltfe.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
2025-03-11 15:15:25+00:00,193.189.185.113,GET,/api-web/v1/chart_data?timespan=720,HTTP/1.1,200,2708,https://cyber.ltfe.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
2025-03-11 15:16:25+00:00,193.189.185.113,GET,/api-web/v1/chart_data?timespan=720,HTTP/1.1,200,2708,https://cyber.ltfe.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
2025-03-11 15:17:26+00:00,193.189.185.113,GET,/api-web/v1/chart_data?timespan=720,HTTP/1.1,200,2709,https://cyber.ltfe.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
2025-03-11 15:18:26+00:00,193.189.185.113,GET,/api-web/v1/chart_data?timespan=720,HTTP/1.1,200,2709,https://cyber.ltfe.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
2025-03-11 15:19:26+00:00,193.189.185.113,GET,/api-web/v1/chart_data?timespan=720,HTTP/1.1,200,2709,https://cyber.ltfe.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
2025-03-11 15:20:30+00:00,193.189.185.113,GET,/api-web/v1/traffic?timespan=720,HTTP/1.1,200,49,https://cyber.ltfe.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
2025-03-11 15:20:30+00:00,193.189.185.113,GET,/api-web/v1/chart_data?timespan=720,HTTP/1.1,200,2708,https://cyber.ltfe.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
2025-03-11 15:21:30+00:00,193.189.185.113,GET,/api-web/v1/chart_data?timespan=720,HTTP/1.1,200,2708,https://cyber.ltfe.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
2025-03-11 15:22:30+00:00,193.189.185.113,GET,/api-web/v1/chart_data?timespan=720,HTTP/1.1,200,2708,https://cyber.ltfe.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
2025-03-11 15:23:30+00:00,193.189.185.113,GET,/api-web/v1/chart_data?timespan=720,HTTP/1.1,200,2708,https://cyber.ltfe.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
2025-03-11 15:24:30+00:00,193.189.185.113,GET,/api-web/v1/chart_data?timespan=720,HTTP/1.1,200,2708,https://cyber.ltfe.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
2025-03-11 15:25:31+00:00,193.189.185.113,GET,/api-web/v1/chart_data?timespan=720,HTTP/1.1,200,2708,https://cyber.ltfe.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
2025-03-11 15:25:49+00:00,193.189.185.113,GET,/api-web/v1/traffic?timespan=720,HTTP/1.1,200,49,https://cyber.ltfe.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
2025-03-11 15:26:05+00:00,172.69.195.32,GET,/,HTTP/1.1,200,1018,www.google.com,"Mozilla/5.0 (Linux; Android 7.0; SM-G892A Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Mobile Safari/537.36"
2025-03-11 15:26:07+00:00,172.71.26.79,GET,/wp,HTTP/1.1,200,1018,www.google.com,"Mozilla/5.0 (Linux; Android 7.0; SM-G892A Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Mobile Safari/537.36"
2025-03-11 15:26:08+00:00,141.101.76.15,GET,/wordpress,HTTP/1.1,200,1018,www.google.com,"Mozilla/5.0 (Linux; Android 7.0; SM-G892A Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Mobile Safari/537.36"
2025-03-11 15:26:10+00:00,172.70.90.27,GET,/cyberlab,HTTP/1.1,200,1018,www.google.com,"Mozilla/5.0 (Linux; Android 7.0; SM-G892A Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Mobile Safari/537.36"
2025-03-11 15:26:11+00:00,172.70.163.143,GET,/wordpress,HTTP/1.1,200,1018,www.google.com,"Mozilla/5.0 (Linux; Android 7.0; SM-G892A Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Mobile Safari/537.36"
2025-03-11 15:26:15+00:00,172.69.194.124,GET,/old,HTTP/1.1,200,1018,www.google.com,"Mozilla/5.0 (Linux; Android 7.0; SM-G892A Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Mobile Safari/537.36"
2025-03-11 15:26:17+00:00,141.101.99.129,GET,/backup,HTTP/1.1,200,1018,www.google.com,"Mozilla/5.0 (Linux; Android 7.0; SM-G892A Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Mobile Safari/537.36"
2025-03-11 15:26:21+00:00,141.101.99.135,GET,/new,HTTP/1.1,200,1018,www.google.com,"Mozilla/5.0 (Linux; Android 7.0; SM-G892A Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Mobile Safari/537.36"
2025-03-11 15:26:25+00:00,172.70.86.143,GET,/test,HTTP/1.1,200,1018,www.google.com,"Mozilla/5.0 (Linux; Android 7.0; SM-G892A Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Mobile Safari/537.36"
2025-03-11 15:26:28+00:00,141.101.99.98,GET,/wp,HTTP/1.1,200,1018,www.google.com,"Mozilla/5.0 (Linux; Android 7.0; SM-G892A Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Mobile Safari/537.36"
2025-03-11 15:26:30+00:00,141.101.98.228,GET,/temp,HTTP/1.1,200,1018,www.google.com,"Mozilla/5.0 (Linux; Android 7.0; SM-G892A Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Mobile Safari/537.36"
2025-03-11 15:26:31+00:00,193.189.185.113,GET,/api-web/v1/chart_data?timespan=720,HTTP/1.1,200,2708,https://cyber.ltfe.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
